node,community
84806187,0
84806193,0
84806195,0
84806203,0
84806238,0
84837637,1
84837640,1
84837685,2
84837691,3
84837707,3
84837711,3
84837729,4
84841359,4
84842923,0
91718204,5
92398473,6
92400812,7
92400813,7
92400815,7
92400834,8
92400838,1
104795733,9
104795744,9
104795753,9
104795760,9
104795775,9
104795784,9
104795787,10
104796559,4
104796570,4
104796578,9
104796584,4
106390163,9
106391182,9
106391959,11
106391960,11
106391963,11
106392371,11
106392372,11
106392373,11
106392374,11
106393789,11
106393795,11
106393935,11
106393936,11
106394882,11
106394883,11
106394884,11
106394886,11
106394889,11
106395383,11
106395385,11
106395386,11
106396034,11
106396036,11
106396037,11
106396293,11
106396975,11
106396977,11
106396978,11
106397126,11
106397493,11
106397494,11
106397818,11
106397821,11
106398025,11
106398026,11
106398352,11
106398664,11
106398666,11
106398919,11
106398920,11
106407984,11
106407985,11
106408695,11
106408697,11
106409245,11
106409246,11
106410562,11
106410563,11
106414046,11
106414056,11
106414064,11
106414074,11
106414080,11
106414083,11
106414397,11
106414399,11
106417620,11
106417632,11
106417637,11
106420612,11
106420614,11
106420621,11
106420958,11
106422116,12
106422118,12
106423311,12
106426376,3
106426378,12
106426385,12
106426387,12
106426394,12
106426403,12
106430725,12
106432263,11
106432269,4
106432270,4
106433031,4
106433034,4
106433038,4
106435147,4
106436411,11
106436414,11
106436415,11
106436417,11
106436421,11
106438242,11
106438251,11
106438686,11
106438691,11
106439823,11
106440531,11
106440532,11
106440533,11
106441537,11
106441538,11
106441543,11
106441545,11
106441550,11
106442063,11
106442064,11
106442065,11
106442066,11
106442393,11
106442394,11
106442395,11
106442396,11
106442797,11
106442798,11
106442920,11
106443988,11
106444354,11
106444356,11
106444379,11
106444707,11
106445119,11
106445121,11
106445460,11
106445812,11
106445814,11
106446065,11
106449333,11
106449334,11
110390691,0
110390716,0
110390749,9
110390750,9
110390790,0
110390805,9
110390811,9
110390826,4
110390829,9
110390831,9
110390838,9
110390878,13
110390892,9
110390908,9
110390909,4
110390911,4
110390919,9
110390925,9
110390939,9
110390947,9
110390954,9
110390955,9
110390956,9
282908917,3
282909468,3
282910179,3
282915889,3
282915891,3
282915992,3
282916014,3
282916103,12
282916107,12
282916111,12
282916118,2
282916121,2
282916124,2
282916284,12
282916287,12
282916324,12
282916328,12
282916350,12
282922111,3
282922470,3
282922652,3
309671941,9
309671955,9
311473670,14
311473859,44
311551973,16
311551977,17
311562041,4
311570393,1
311570554,1
311606477,18
311606479,18
311606507,18
311606527,18
311606534,18
311606576,18
311606621,18
420463652,19
436176901,10
436176902,10
436176904,4
436176905,4
436176907,4
436176910,4
436176913,3
436176916,3
436176923,3
436176924,3
436176925,3
436185484,4
436185576,44
440776411,0
440776417,0
440776424,0
440776425,0
443011331,3
443011332,3
443011372,3
443011377,3
443011379,3
443011381,3
443011541,3
443011550,3
443011569,3
445225395,20
445225403,20
445225404,21
445225426,20
445225437,20
445225456,20
445225472,20
445225488,20
445225498,20
445225502,20
445225521,20
445225522,21
445225527,20
445225529,20
445225535,20
445225538,20
445225541,20
445225556,20
445225584,20
445225587,20
445225596,20
445225597,20
445225627,20
445225630,20
445225635,20
445225643,20
445225677,20
445225695,20
445225700,20
474949554,14
480670261,4
480670274,4
595961920,1
595961921,1
595961934,1
738815139,11
773508697,22
773508700,23
773508703,24
773508705,24
773508708,24
773508709,24
773508711,25
773508723,26
773508726,26
773508732,27
773508744,28
773508749,29
847468799,1
847468800,1
847469437,1
847469442,1
847469911,16
847469931,16
847469937,16
847469939,16
847469944,23
847469946,23
847469947,23
847469952,23
847469953,23
847469954,23
847895409,31
847895410,31
847895412,31
847895423,31
847895425,31
847895431,31
847895440,31
847895445,31
847895456,31
847895457,31
847895460,31
847898294,5
847900487,5
847900505,5
847900522,32
847900918,5
847901490,5
847902198,31
848470526,23
848470533,23
848470535,23
848470539,23
848470541,23
848470543,23
848470545,23
848473646,33
848473649,33
848473651,33
848473655,33
848473661,33
848473671,33
848473674,32
848473679,32
848473680,32
848473681,32
848473693,32
848473700,32
848473701,32
848473716,32
1007883623,29
1007883629,29
1150252250,32
1150252278,32
1150252369,32
1150252494,32
1150252586,32
1150252631,33
1150252761,33
1150252844,35
1150252954,35
1150253075,35
1150253184,48
1150253220,48
1150253246,48
1150253286,48
1150253423,48
1150253881,48
1150253918,32
1150253958,32
1221760125,11
1221760162,11
1221760214,11
1221853317,11
1221853381,11
1221938132,13
1221938305,9
1221938553,13
1221938570,13
1221938646,13
1222038964,13
1222039171,4
1222039208,4
1222039299,4
1222039402,13
1222039413,4
1378817772,1
1378817789,1
1378855936,8
1378855959,38
1378855965,8
1378855987,8
1378856038,8
1378856064,8
1378856087,8
1378856115,8
1378892440,38
1378892442,38
1378892456,39
1378892458,39
1378892470,39
1378906330,67
1381128164,41
1539009937,3
1540779030,68
1540779032,18
1540779035,43
1540779038,82
1540779060,82
1540779061,18
1540779069,43
1540779073,44
1540779113,43
1540779116,82
1540779144,43
1673142788,19
1673142805,19
1685289339,21
1685289353,46
1685291674,20
1699294070,20
1699294074,20
1699294077,20
1699294084,20
1699294099,20
1699294314,20
1706697448,20
1706698186,20
1706700670,20
1706700674,20
1706700679,20
1706701339,20
1706703488,20
1726228232,47
1726228234,47
1726228267,47
1726228269,47
1726228288,47
1726228359,47
1726228376,47
1726228381,47
1726228389,5
1726228443,47
1726228476,47
1726228493,47
1726234430,5
1755805385,4
1755805388,4
1757004276,9
1757004277,4
1757004283,4
1757004284,4
1757004285,9
1757004289,4
1757004290,9
1757004291,9
1757004292,9
1757004296,4
1757004299,9
1757004301,4
1757004305,4
1757004306,4
1757004309,9
1757004311,4
1757138336,48
1758656136,11
1758656873,11
1758659096,11
1758659098,11
1758659099,11
1758659102,11
1758659103,11
1758659106,11
1758659108,11
1758659109,11
1758659110,11
1758659112,11
1758659113,11
1758659114,11
1758659115,11
1758659116,11
1758659117,11
1758659118,11
1758659120,11
1758659121,11
1758659124,11
1758663284,11
1758663306,11
1758663345,11
1785097904,6
1785097917,6
1787443744,9
1787443757,9
1787443768,9
1787443804,9
1787443809,9
1787443812,4
1787443815,9
1787443858,9
1787443898,4
1787443903,9
1863427655,11
1877757473,9
1877757587,9
1877757616,9
1877757659,9
1877757691,9
1877757747,9
1877757782,9
1877757802,9
1877757805,9
1877757833,9
1877757846,9
1877757851,9
1877757879,9
1877757894,9
1893246344,4
1893246365,4
1893246385,4
1893247025,4
1893248766,0
1893250303,13
1893250370,13
1893250600,13
1893250706,9
1893251001,0
1893251010,9
1893251148,9
1893251364,9
1893251387,9
1893251531,0
1893779148,29
1893779161,29
1893785215,6
1893785217,6
1893785218,41
1893785219,41
1893785221,41
1893785225,26
1897828116,13
1897828118,13
1897828122,13
1897828126,13
1897828134,13
1897828141,13
1897828146,13
1897828685,11
1897828687,11
1897828692,11
1897828693,11
1897828695,11
1897829046,11
1897829047,11
1897829048,11
1897829050,11
1897829051,11
1897829053,11
1897829054,11
1897829055,11
1897829056,11
1897829057,11
1897830309,11
1897830312,11
1897830314,11
1897830714,11
1897830716,11
1897831267,11
1897831269,11
1897831270,11
1897835009,4
1897835016,4
1897835027,4
1897835031,4
1897835043,4
1897835051,4
1897835057,4
1897835060,4
1897835063,4
1897835795,4
1897835799,4
1897839159,4
1897839161,4
1897839163,4
1897839166,4
1897839168,4
1897839170,4
1897839174,4
1897839176,4
1898551696,43
1898551698,43
1898551800,43
1898551802,43
1898551805,43
1898551807,14
1898551931,43
1898551932,14
1898551963,14
1898551970,14
1898551973,43
1898551974,43
1898552032,14
1898552034,14
1898552064,43
1898552168,14
1898552176,14
1898552205,18
1898552277,18
1898552307,18
1898552325,18
1898552353,18
1898552371,18
1898552395,18
1898552398,18
1898552491,18
1898552493,18
1898552516,18
1898552520,18
1898552594,18
1898552597,2
1898552608,2
1898552653,2
1898552929,2
1898552935,2
1905277776,1
1905277790,1
1905277792,1
1905277794,1
1905277796,1
1905277826,1
1905277838,1
1905277866,1
1905277869,1
1905277871,1
1905277873,1
1905277894,1
1905277897,1
1905277900,1
1905277920,1
1905277927,1
1905277930,1
1905277933,1
1905277942,1
1905277944,1
1905277968,1
1905277971,1
1905277974,1
1905277980,1
1905277989,1
1905277992,1
1905277995,1
1905278001,1
1905278009,1
1905278011,1
1905278016,1
1905278019,1
1905278024,1
1905278041,1
1905278043,1
1905278046,1
1905278049,1
1905278061,1
1905278066,1
1905278080,1
1905278083,1
1905278089,1
1905278094,1
1905278112,1
1905278114,1
1905278128,1
1905278130,1
1905278133,1
1905278138,1
1905278140,1
1905278143,1
1905278146,1
1905278161,1
1905278166,1
1905278170,1
1905278175,1
1905278179,1
1905278185,1
1905278187,1
1905278192,1
1905278214,1
1905278216,1
1905278220,1
1905278227,1
1905278229,1
1905278233,1
1905278238,1
1905278240,1
1905278242,1
1927131133,3
1927131134,3
1927131135,3
1927131137,3
1927131140,3
1927131142,3
1927131144,3
1927471947,3
1927471948,3
1927471950,3
1927471954,3
1927471959,3
1927471960,3
1927471963,3
1927471964,3
1927471965,3
1927471966,3
1927558292,12
1927558298,12
1928643487,3
1928643509,3
1928643539,3
1928643542,3
1928643548,18
1934503023,44
1944601178,12
1944601187,12
1944628950,3
1944628955,3
1944628958,3
1944628960,3
1944628962,3
1944628964,3
1944628967,3
2030568562,0
2030568563,0
2030568564,0
2030568565,9
2030568567,9
2105660411,4
2105986459,3
2105986463,3
2105986465,3
2105986466,11
2189336866,20
2189336885,20
2189336892,20
2189336925,20
2189337090,20
2189337091,20
2189337093,20
2189337113,5
2189337119,20
2189337126,5
2189337168,20
2189337169,20
2189337176,20
2189337192,20
2189337202,20
2189343416,20
2190711452,20
2190711454,20
2190711462,20
2190711467,20
2190711472,20
2190711477,20
2190711482,20
2190711489,20
2190711496,20
2190711504,49
2190711517,49
2190711524,20
2190711531,20
2190711535,20
2190711560,20
2190711569,20
2190711574,20
2190711580,20
2190711587,20
2190711589,20
2190711596,20
2190711599,20
2190711605,20
2190711645,20
2190711652,20
2190711655,20
2190711671,20
2190711675,20
2190711677,49
2190711680,20
2190711682,20
2190711689,49
2190711696,49
2190711698,20
2190711718,49
2190711719,20
2190711732,20
2190711734,20
2190711739,20
2190711759,20
2190711761,20
2190711764,20
2190711766,20
2190711771,20
2190711773,20
2190711777,20
2190711780,20
2190711789,20
2190711793,49
2190711796,20
2190711819,20
2190711830,20
2190711831,20
2190711833,20
2190711835,20
2190711857,20
2190711860,20
2190711862,49
2190711871,20
2190711876,20
2190711885,49
2190711894,20
2190711898,20
2190711903,20
2190711905,20
2190711907,20
2190711930,20
2190711934,12
2190711935,20
2190711936,20
2190711937,20
2190711938,49
2190711942,20
2190711956,20
2190711958,49
2190711961,20
2190711965,20
2190711970,20
2190711982,49
2190711991,20
2190712008,20
2190712026,20
2190712028,20
2190712047,20
2190712049,20
2190712058,20
2190712060,20
2190712062,20
2190712064,20
2190712067,20
2208163084,35
2208163091,35
2208163099,35
2208163113,51
2208163244,51
2208163250,51
2208163260,51
2208396430,11
2208396439,11
2221198884,21
2221198887,21
2221198889,21
2221198892,21
2221198900,21
2221198905,21
2221198908,21
2221198913,21
2221198919,21
2221198920,21
2221198929,21
2221198932,21
2221198939,21
2221198944,21
2221198946,21
2221198948,21
2221198953,21
2221198956,21
2221198958,21
2221198961,21
2221198970,21
2221198972,21
2221198974,21
2221198979,21
2221198984,21
2221198988,21
2221198989,21
2221198993,21
2221198996,21
2221198998,21
2221199000,21
2221199005,21
2221237723,47
2221237754,47
2221237854,26
2221237903,26
2221238063,47
2229026046,4
2230051430,1
2291276128,20
2291276143,20
2291276147,20
2291276153,20
2291276156,20
2291276168,20
2291276174,20
2291276177,20
2291276180,20
2291276192,20
2291276196,20
2291276218,20
2291276232,20
2291276261,20
2291276267,20
2291276281,20
2291276287,20
2291276289,20
2291276292,20
2291276302,20
2291276305,20
2291276308,20
2291276312,20
2291276332,20
2291276335,20
2291276338,20
2291276341,20
2291276348,20
2291276354,20
2291276362,20
2291276366,20
2291276368,20
2291282204,20
2291282205,20
2291282210,20
2291282215,20
2291282217,20
2291282219,20
2291282221,20
2291282222,20
2291282223,20
2291282224,20
2291282225,20
2291282226,20
2291282227,20
2291287770,20
2303359516,11
2303359517,11
2303361418,20
2303361977,20
2326769077,18
2326801411,10
2326801421,4
2326801429,4
2326802252,4
2326802256,4
2326809909,3
2326809910,3
2499032377,52
2499034219,53
2499034225,54
2499034233,54
2499034237,54
2499034243,55
2499034247,55
2499034253,56
2499034262,56
2509452187,5
2509452190,5
2509458804,5
2509458810,5
2509458823,5
2509458826,5
2509503671,5
2509503673,5
2509503706,5
2509503726,5
2509503746,5
2509503772,20
2509908629,54
2509908632,54
2509908637,54
2509908639,54
2509908650,54
2509908652,54
2509908659,54
2509908685,54
2509908689,54
2509908697,54
2509908713,54
2509908726,54
2509908730,54
2509908732,54
2509908736,54
2509908737,54
2509908743,54
2509908745,54
2515214968,48
2515214975,48
2515214977,48
2515214979,48
2515214982,32
2515214985,32
2516235789,19
2516235875,57
2516235914,19
2517174110,57
2517177546,57
2517186772,57
2517186780,57
2517186795,57
2517186804,57
2517194954,57
2517198123,57
2517200982,57
2528296136,13
2528296141,13
2528298730,13
2533155495,11
2533155499,11
2533155504,11
2533157674,11
2533158903,11
2533159815,11
2533159820,11
2533161013,11
2533161016,11
2533161663,11
2556642596,58
2573468414,44
2578051853,11
2579527860,11
2579651566,18
2580588260,18
2580588269,18
2580588293,2
2580588298,2
2580588449,18
2580588466,18
2580588539,18
2580588620,18
2580588627,18
2580588634,18
2580588638,18
2580588643,18
2580588645,18
2580820431,16
2580820433,16
2580820443,16
2580820450,23
2580820452,23
2580820460,16
2580820462,23
2580820477,16
2580820478,16
2580820483,16
2580820484,16
2580820485,16
2580820487,16
2580820495,22
2580820533,22
2580820563,2
2580820565,2
2580820568,16
2580820569,2
2580820576,49
2580820578,49
2580820582,2
2580820587,2
2580820588,2
2580820595,2
2580820599,2
2580820604,2
2580820605,2
2580820609,2
2580820616,2
2580820618,2
2580820625,2
2580820634,22
2580820670,49
2580820671,49
2580820714,20
2580820722,20
2580820724,20
2580820880,20
2580820882,20
2580820913,21
2580820916,20
2580820932,20
2580887628,49
2580923669,16
2580923670,16
2580923675,16
2580923676,16
2580923679,16
2580923682,16
2580923686,16
2580923690,16
2581659081,7
